,install_date,platform,lt,installs,iap_revenue,ads_revenue
260,2021-05-02,android,39,959,63.99158444397473,196.09203498952638
261,2021-05-02,ios,39,273,60.71567736289883,26.516487909810166
262,2021-05-02,android,40,955,236.96045796728004,272.8888072743448
263,2021-05-02,ios,40,288,44.42970670558358,27.011711967868905
264,2021-05-02,android,41,846,160.68740734281639,274.2279791637211
265,2021-05-02,ios,41,285,10.485999821424485,27.40120398084946
266,2021-05-02,android,42,951,108.31394488786756,201.5354337770441
267,2021-05-02,ios,42,281,13.147860136719228,22.935815836533948
268,2021-05-02,android,43,914,82.93713295116532,145.16432268821904
269,2021-05-02,ios,43,259,0.0,29.22798583032818
270,2021-05-02,android,44,871,142.9827013917669,220.92521291777643
271,2021-05-02,ios,44,253,60.91995256265754,29.641746979730215
272,2021-05-02,android,45,852,110.40857733799483,163.3244248704716
273,2021-05-02,ios,45,252,29.989371150744496,20.495883973493164
274,2021-05-02,android,46,845,84.17867489872485,97.13748423773563
275,2021-05-02,ios,46,254,36.91462356279904,20.706937936172267
276,2021-05-02,android,47,857,66.43263967744005,105.77320313798555
277,2021-05-02,ios,47,258,35.11292865520334,24.41013391253955
278,2021-05-02,android,48,834,55.47951288991684,109.70155623786002
279,2021-05-02,ios,48,251,28.55556139237756,29.556592866000756
280,2021-05-02,android,49,830,37.708592541629436,116.69485433275304
281,2021-05-02,ios,49,238,25.44459328481376,21.472157868522117
282,2021-05-02,android,50,805,21.402983651192308,132.487269368508
283,2021-05-02,ios,50,237,24.284579297197343,22.90571780211667
284,2021-05-02,android,51,780,61.559691431483216,150.4355614395315
285,2021-05-02,ios,51,232,28.951036547362445,28.554832806426475
286,2021-05-02,android,52,773,78.86182869438434,132.19874138887826
287,2021-05-02,ios,52,223,4.192999928593636,23.3213369319825
288,2021-05-02,android,53,745,172.93508897402793,151.15184022463836
289,2021-05-02,ios,53,222,70.50033188341163,26.498051872471024
290,2021-05-02,android,54,742,127.02374159949412,174.06201307502567
291,2021-05-02,ios,54,210,125.93208735377632,35.9402940356282
292,2021-05-02,android,55,757,99.44810396543443,169.3679043326897
293,2021-05-02,ios,55,211,1.4275583155596256,33.28277387902381
294,2021-05-02,android,56,759,39.84738235397291,105.13793617552824
295,2021-05-02,ios,56,219,18.20527008241296,26.670601829757288
296,2021-05-02,android,57,728,47.514093492498404,115.7747644071369
297,2021-05-02,ios,57,204,0.0,35.776091649067894
